Duration,Long
189,1
116,0
138,0
103,0
164,1
169,1
165,1
182,1
111,0
162,1
115,0
138,0
186,1
144,0
109,0
153,1
201,1
91,0
185,1
109,0
199,1
169,1
125,0
156,1
143,0
164,1
134,0
119,0
162,1
93,0
145,0
168,1
117,0
103,0
139,0
210,1
168,1
185,1
92,0
173,1
138,0
151,1
111,0
101,0
144,0
178,1
135,0
202,1
90,0
193,1
136,0
159,1
106,0
136,0
174,1
183,1
124,0
191,1
108,0
114,0
122,0
137,0
129,0
125,0
163,1
140,0
118,0
137,0
112,0
117,0
174,1
198,1
185,1
203,1
138,0
208,1
179,1
119,0
164,1
153,1
164,1
153,1
182,1
134,0
131,0
127,0
145,0
176,1
150,0
199,1
201,1
95,0
173,1
114,0
94,0
111,0
122,0
179,1
197,1
187,1
161,1
98,0
159,1
154,1
192,1
149,0
192,1
182,1
184,1
191,1
117,0
145,0
97,0
180,1
153,1
196,1
204,1
194,1
170,1
151,1
148,0
202,1
181,1
195,1
157,1
160,1
103,0
191,1
127,0
180,1
149,0
142,0
112,0
132,0
159,1
164,1
167,1
179,1
126,0
165,1
174,1
168,1
177,1
132,0
123,0
178,1
113,0
151,1
134,0
109,0
193,1
122,0
176,1
132,0
162,1
175,1
174,1
176,1
98,0
142,0
189,1
167,1
154,1
113,0
131,0
114,0
93,0
105,0
97,0
204,1
141,0
106,0
182,1
198,1
139,0
96,0
203,1
195,1
194,1
210,1
153,1
112,0
136,0
202,1
157,1
166,1
177,1
141,0
97,0
106,0
139,0
176,1
204,1
144,0
183,1
204,1
144,0
161,1
187,1
120,0
90,0
91,0
207,1
169,1
102,0
208,1
121,0
109,0
138,0
191,1
99,0
165,1
207,1
101,0
180,1
106,0
118,0
127,0
140,0
210,1
191,1
169,1
93,0
118,0
190,1
174,1
153,1
92,0
142,0
114,0
139,0
136,0
183,1
149,0
133,0
162,1
116,0
93,0
207,1
125,0
94,0
170,1
168,1
136,0
95,0
193,1
189,1
164,1
200,1
197,1
100,0
117,0
128,0
165,1
162,1
110,0
203,1
204,1
98,0
118,0
190,1
134,0
115,0
210,1
102,0
94,0
133,0
114,0
179,1
180,1
191,1
152,1
107,0
159,1
196,1
102,0
123,0
165,1
195,1
105,0
192,1
145,0
186,1
110,0
110,0
124,0
103,0
108,0
92,0
179,1
129,0
207,1
179,1
118,0
200,1
127,0
143,0
144,0
178,1
